race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Sebastian Vettel,5,German,Ferrari,3,46,+11.739,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Max Verstappen,33,Dutch,Red Bull,4,57,+7.679,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Valtteri Bottas,77,Finnish,Mercedes,2,65,+3.162,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Charles Leclerc,16,Monegasque,Ferrari,3,63,+4.696,15.0,3,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Charles Leclerc,16,Monegasque,Ferrari,3,40,+18.985,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Valtteri Bottas,77,Finnish,Mercedes,3,53,+18.960,15.0,3,2024-07-12T11:40:19.668-07:00
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Charles Leclerc,16,Monegasque,Ferrari,3,47,+30.117,15.0,3,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Daniil Kvyat,26,Russian,Toro Rosso,14,61,+8.305,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Hungarian Grand Prix,2019-08-04T13:10:00.000-07:00,Budapest,Sebastian Vettel,5,German,Ferrari,5,65,+1:01.433,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Valtteri Bottas,77,Finnish,Mercedes,4,27,+12.585,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Max Verstappen,33,Dutch,Red Bull,4,56,+3.821,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Charles Leclerc,16,Monegasque,Ferrari,1,52,+5.212,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Valtteri Bottas,77,Finnish,Mercedes,6,66,+3.553,15.0,3,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Max Verstappen,33,Dutch,Red Bull,3,42,+5.002,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Carlos Sainz,55,Spanish,McLaren,20,63,+8.896,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Charles Leclerc,16,Monegasque,Ferrari,3,44,+43.435,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Max Verstappen,33,Dutch,Red Bull,2,70,+33.698,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Valtteri Bottas,77,Finnish,Mercedes,2,66,+9.452,15.0,3,2024-07-12T11:40:19.668-07:00
2020,British Grand Prix,2020-08-02T13:10:00.000-07:00,Silverstone,Charles Leclerc,16,Monegasque,Ferrari,4,49,+18.474,15.0,3,2024-07-12T11:40:19.668-07:00
2020,70th Anniversary Grand Prix,2020-08-09T13:10:00.000-07:00,Silverstone,Valtteri Bottas,77,Finnish,Mercedes,1,44,+19.231,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Max Verstappen,33,Dutch,Red Bull,3,27,+15.455,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Lance Stroll,18,Canadian,Racing Point,8,42,+3.358,15.0,3,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Alexander Albon,23,Thai,Red Bull,4,51,+8.064,15.0,3,2024-07-12T11:40:19.668-07:00
